10000000, 110581159.591675
20000000, 82139968.872070
30000000, 381974935.531616
40000000, 383002042.770386
50000000, 548794031.143188
60000000, 598929882.049561
70000000, 292197227.478027
80000000, 646494150.161743
90000000, 367835998.535156
100000000, 730386018.753052
110000000, 1068402051.925659
120000000, 459833860.397339
130000000, 1062455892.562866
140000000, 539638042.449951
150000000, 1536898136.138916
160000000, 592085838.317871
170000000, 1245576858.520508
180000000, 1308753967.285156
190000000, 1730497121.810913
200000000, 1420759916.305542
210000000, 1695199012.756348
220000000, 1504750967.025757
230000000, 1698360919.952393
240000000, 2007221937.179565
250000000, 1289620876.312256
260000000, 1790842056.274414
270000000, 1043165922.164917
280000000, 2836942911.148071
290000000, 1194962024.688721
300000000, 3568044900.894165
310000000, 1238456010.818481
320000000, 2311663150.787354
330000000, 1869544982.910156
340000000, 1996778964.996338
350000000, 2576776027.679443
360000000, 2394716024.398804
370000000, 2654339790.344238
380000000, 2791958093.643188
390000000, 2155822038.650513
400000000, 2947989940.643311
410000000, 1905132055.282593
420000000, 2605314970.016479
430000000, 2900139808.654785
440000000, 3206460952.758789
450000000, 1887020111.083984
460000000, 2961234807.968140
470000000, 2895512104.034424
480000000, 2657217025.756836
490000000, 3459778070.449829
500000000, 4284855842.590332
510000000, 3578481912.612915
520000000, 2690480947.494507
530000000, 3535893917.083740
540000000, 2861536026.000977
550000000, 2105794906.616211
560000000, 4477897167.205811
570000000, 3201533079.147339
580000000, 3471635103.225708
590000000, 4948357820.510864
600000000, 3945331811.904907
610000000, 2838610887.527466
620000000, 4475440025.329590
630000000, 4028695821.762085
640000000, 3283214092.254639
650000000, 4756610870.361328
660000000, 4388117074.966431
670000000, 2957254886.627197
680000000, 5924265146.255493
690000000, 5147274971.008301
700000000, 3058114051.818848
710000000, 4923001050.949097
720000000, 5267693042.755127
730000000, 4858850955.963135
740000000, 3306307792.663574
750000000, 5208209991.455078
760000000, 7114758014.678955
770000000, 3719675064.086914
780000000, 4487798929.214478
790000000, 6007529020.309448
800000000, 5298560857.772827
810000000, 3793312072.753906
820000000, 5181369066.238403
830000000, 5974167108.535767
840000000, 4042889833.450317
850000000, 4958214044.570923
860000000, 6328582048.416138
870000000, 5726637125.015259
880000000, 6411122083.663940
890000000, 6191978931.427002
900000000, 5396008968.353271
910000000, 4858675003.051758
920000000, 5104124069.213867
930000000, 7002104997.634888
940000000, 6924089908.599854
950000000, 6404901027.679443
960000000, 4926030874.252319
970000000, 5118367910.385132
980000000, 6292757987.976074
990000000, 7165423870.086670
1000000000, 6986901998.519897
40000000, 468791961.669922
41000000, 310348033.905029
42000000, 418596982.955933
43000000, 358840942.382812
44000000, 557658910.751343
45000000, 493913888.931274
46000000, 433649063.110352
47000000, 174064159.393311
48000000, 181795120.239258
49000000, 182801961.898804
50000000, 183657169.342041
51000000, 191184997.558594
52000000, 193759202.957153
53000000, 197563171.386719
54000000, 205546855.926514
55000000, 199688196.182251
56000000, 204237937.927246
57000000, 219351053.237915
58000000, 221372127.532959
59000000, 218041181.564331
60000000, 226204872.131348
10000000, 36972999.572754
11000000, 40571928.024292
12000000, 53920984.268188
13000000, 52824974.060059
14000000, 65502882.003784
15000000, 60400009.155273
16000000, 63207864.761353
17000000, 65254926.681519
18000000, 81141948.699951
19000000, 73284864.425659
20000000, 79903841.018677
21000000, 92957019.805908
22000000, 80265045.166016
23000000, 97084999.084473
24000000, 110081195.831299
25000000, 87610006.332397
26000000, 94579935.073853
27000000, 113569974.899292
28000000, 103793859.481812
29000000, 115031003.952026
30000000, 110442876.815796
31000000, 112627983.093262
32000000, 121179103.851318
33000000, 127867937.088013
34000000, 124034881.591797
35000000, 126988887.786865
36000000, 131115198.135376
37000000, 134171009.063721
38000000, 153122186.660767
39000000, 144558906.555176
40000000, 145020008.087158
60000000, 217204093.933105
61000000, 220924139.022827
62000000, 233211994.171143
63000000, 228240013.122559
64000000, 238002061.843872
65000000, 237394094.467163
66000000, 245973825.454712
67000000, 250872135.162354
68000000, 254298925.399780
69000000, 257259845.733643
70000000, 259024143.218994
71000000, 262485027.313232
72000000, 274849891.662598
73000000, 272330045.700073
74000000, 274638175.964355
75000000, 273205041.885376
76000000, 282250165.939331
77000000, 279592990.875244
78000000, 292510986.328125
79000000, 290819168.090820
80000000, 296983003.616333
81000000, 295954942.703247
82000000, 313666105.270386
83000000, 306848049.163818
84000000, 311548948.287964
85000000, 307943105.697632
86000000, 311921834.945679
87000000, 318320035.934448
88000000, 319380044.937134
89000000, 331007957.458496
90000000, 330811977.386475
91000000, 338379859.924316
92000000, 336385965.347290
93000000, 346286058.425903
94000000, 336605072.021484
95000000, 356692075.729370
96000000, 358155965.805054
97000000, 353631973.266602
98000000, 364772081.375122
99000000, 357695102.691650
100000000, 367166042.327881
